TIMESTAMP,IMG,SUBTRACTED,RATE
07/03/2016 09:53:05,0,0,0
07/03/2016 09:53:11,1,0,0
07/03/2016 09:53:17,2,0,0
07/03/2016 09:53:23,3,0,0
07/03/2016 09:53:30,4,0,0
07/03/2016 09:53:36,5,0,0
07/03/2016 09:53:42,6,0,0
07/03/2016 09:53:49,7,0,0
07/03/2016 09:53:55,8,0,0
07/03/2016 09:54:01,9,0,0
07/03/2016 09:54:07,10,0,0
07/03/2016 09:54:14,11,0,0
07/03/2016 09:54:20,12,0,0
07/03/2016 09:54:26,13,0,0
07/03/2016 09:54:33,14,0,0
07/03/2016 09:54:39,15,0,0
07/03/2016 09:54:45,16,0,0
07/03/2016 09:54:51,17,0,0
07/03/2016 09:54:58,18,0,0
07/03/2016 09:55:04,19,0,0
07/03/2016 09:55:10,20,0,0
07/03/2016 09:55:17,21,0,0
07/03/2016 09:55:23,22,0,0
07/03/2016 09:55:29,23,0,0
07/03/2016 09:55:35,24,0,0
07/03/2016 09:55:42,25,0,0
07/03/2016 09:55:48,26,0,0
07/03/2016 09:55:54,27,0,0
07/03/2016 09:56:01,28,0,0
07/03/2016 09:56:07,29,0,0
07/03/2016 09:56:13,30,0,0
07/03/2016 09:56:19,31,0,0
07/03/2016 09:56:26,32,0,0
07/03/2016 09:56:32,33,0,0
07/03/2016 09:56:38,34,0,0
07/03/2016 09:56:44,35,0,0
07/03/2016 09:56:51,36,0,0
07/03/2016 09:56:57,37,0,0
07/03/2016 09:57:03,38,0,0
07/03/2016 09:57:10,39,0,0
07/03/2016 09:57:16,40,0,0
07/03/2016 09:57:22,41,0,0
07/03/2016 09:57:28,42,0,0
07/03/2016 09:57:35,43,0,0
07/03/2016 09:57:41,44,0,0
07/03/2016 09:57:47,45,0,0
07/03/2016 09:57:54,46,0,0
07/03/2016 09:58:00,47,0,0
07/03/2016 09:58:06,48,0,0
07/03/2016 09:58:12,49,0,0
07/03/2016 09:58:19,50,0,0
07/03/2016 09:58:25,51,0,0
07/03/2016 09:58:31,52,0,0
07/03/2016 09:58:38,53,0,0
07/03/2016 09:58:44,54,0,0
07/03/2016 09:58:50,55,0,0
07/03/2016 09:58:56,56,0,0
07/03/2016 09:59:03,57,0,0
07/03/2016 09:59:09,58,0,0
07/03/2016 09:59:15,59,0,0
07/03/2016 09:59:22,60,0,0
07/03/2016 09:59:28,61,0,0
07/03/2016 09:59:34,62,0,0
07/03/2016 09:59:40,63,0,0
07/03/2016 09:59:47,64,0,0
07/03/2016 09:59:53,65,0,0
07/03/2016 09:59:59,66,0,0
07/03/2016 10:00:05,67,0,0
07/03/2016 10:00:12,68,0,0
07/03/2016 10:00:18,69,0,0
07/03/2016 10:00:24,70,0,0
07/03/2016 10:00:31,71,0,0
07/03/2016 10:00:37,72,0,0
07/03/2016 10:00:43,73,0,0
07/03/2016 10:00:49,74,0,0
07/03/2016 10:00:56,75,0,0
07/03/2016 10:01:02,76,0,0
07/03/2016 10:01:08,77,0,0
07/03/2016 10:01:15,78,0,0
07/03/2016 10:01:21,79,0,0
07/03/2016 10:01:27,80,0,0
07/03/2016 10:01:33,81,0,0
07/03/2016 10:01:40,82,0,0
07/03/2016 10:01:46,83,0,0
07/03/2016 10:01:52,84,0,0
07/03/2016 10:01:59,85,0,0
07/03/2016 10:02:05,86,0,0
07/03/2016 10:02:11,87,0,0
07/03/2016 10:02:17,88,0,0
07/03/2016 10:02:24,89,0,0
07/03/2016 10:02:30,90,0,0
07/03/2016 10:02:36,91,0,0
07/03/2016 10:02:42,92,0,0
07/03/2016 10:02:49,93,0,0
07/03/2016 10:02:55,94,0,0
07/03/2016 10:03:01,95,0,0
07/03/2016 10:03:08,96,0,0
07/03/2016 10:03:14,97,0,0
07/03/2016 10:03:20,98,0,0
07/03/2016 10:03:26,99,0,0
07/03/2016 10:03:33,100,0,0
07/03/2016 10:03:39,101,0,0
07/03/2016 10:03:45,102,0,0
07/03/2016 10:03:52,103,0,0
